Iteration,Moth 1 Distance,Moth 2 Distance,Moth 3 Distance,Moth 4 Distance,Moth 5 Distance,Moth 6 Distance,Moth 7 Distance,Moth 8 Distance,Moth 9 Distance,Moth 10 Distance,Moth 11 Distance,Moth 12 Distance,Moth 13 Distance,Moth 14 Distance,Moth 15 Distance,Moth 16 Distance,Moth 17 Distance,Moth 18 Distance
48,4071.1,2656.99,4102.6,3563.59,3659.9,2656.99,2656.99,2656.99,2656.99,2656.99,4102.66,3563.59,3398.02,3563.59,3720.78,3907.87,2999.09,3292.19
49,4071.1,2656.99,3428.7,3563.59,3659.9,2656.99,2656.99,2656.99,2656.99,2656.99,3907.87,3563.59,3728.01,3563.59,4167.41,3338.13,2999.09,2858.95
50,4071.1,2656.99,4102.6,4116.06,3868.09,2656.99,2656.99,2656.99,2656.99,2656.99,3907.87,4116.06,3714.56,4116.06,3720.78,3338.13,3569.81,2858.95
51,4071.1,2656.99,3428.7,3563.59,4056.66,2656.99,2656.99,2656.99,2656.99,2656.99,3907.87,3563.59,3714.56,3563.59,4071.1,3338.13,3569.81,3292.19
52,4071.1,2656.99,3623.49,3563.59,4056.66,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,3563.59,2992.87,3563.59,4071.1,3338.13,4071.1,3292.19
53,4401.92,2656.99,3415.3,4116.06,4056.66,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,4116.06,3714.56,4116.06,4116.06,3338.13,3728.01,3292.19
54,4401.92,2656.99,3714.56,3563.59,4056.66,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,3563.59,3660.88,3563.59,3563.59,3338.13,3728.01,3292.19
55,3714.56,2656.99,3500.37,3563.59,3292.19,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,3563.59,3660.88,3563.59,3563.59,3338.13,4167.41,3292.19
56,3714.56,2656.99,3545.33,4116.06,3292.19,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,4116.06,3869.07,4116.06,4116.06,3338.13,4167.41,3292.19
57,2992.87,2656.99,2999.09,4116.06,3292.19,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4116.06,3869.07,4116.06,4116.06,3900.63,3728.01,3292.19
